Experiment,Location,Structure,Fragment,Species,Date_0,Length_cm_0,Width1_cm_0,Width2_cm_0,EV_cm3_0,Survival_0,Comments_0,Date_1,Length_cm_1,Width1_cm_1,Width2_cm_1,EV_cm3_1,Survival_1,Comments_1,Date_2,Length_cm_2,Width1_cm_2,Width2_cm_2,EV_cm3_2,Survival_2,Comments_2,Date_3,Length_cm_3,Width1_cm_3,Width2_cm_3,EV_cm3_3,Survival_3,Comments_3
Depth gradient 2019 - 2020,Pilli Pipa,6,3,Acropora formosa,30-Oct-19,9,1.5,1.6,17,100,,25-Feb-20,11.7,2,3.2,62,100,,20-May-20,15,6.7,3.3,295,90,,7-Oct-20,19.5,7.3,6.7,750,50,
Depth gradient 2019 - 2020,Pilli Pipa,6,4,Acropora formosa,30-Oct-19,9,1.6,1.4,16,100,,25-Feb-20,11.9,3.6,3,102,100,,20-May-20,14.7,5.9,4.4,306,100,,7-Oct-20,18.9,13.3,9.1,"1,862",100,
Depth gradient 2019 - 2020,Pilli Pipa,6,5,Acropora formosa,30-Oct-19,4.5,3.7,2.4,33,100,,25-Feb-20,6.2,4.4,4.4,94,100,,20-May-20,2.3,2.1,2.5,10,25,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,6,6,Acropora formosa,30-Oct-19,8,1.6,1.6,16,100,,25-Feb-20,9.5,4,2.3,74,100,,20-May-20,12.2,5.3,3.9,203,100,,7-Oct-20,15.4,7.3,10.1,915,100,
Depth gradient 2019 - 2020,Pilli Pipa,6,7,Acropora formosa,30-Oct-19,6,4.7,2.4,59,100,,25-Feb-20,9,6.7,4.5,222,100,,20-May-20,13.4,14.2,6.7,"1,149",100,>1cm Difference,7-Oct-20,15.7,16.5,12.7,"2,628",100,
Depth gradient 2019 - 2020,Pilli Pipa,6,8,Acropora formosa,30-Oct-19,6.1,2.3,3.1,35,100,,25-Feb-20,8.5,4.8,4.8,154,100,,20-May-20,10.5,7.3,5.1,317,90,,7-Oct-20,12.5,7.8,7.4,567,100,
Depth gradient 2019 - 2020,Pilli Pipa,7,1,Acropora formosa,30-Oct-19,6.7,4.2,1.9,49,100,,25-Feb-20,3.4,1.9,2.2,11,30,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,2,Acropora formosa,30-Oct-19,9.1,2.5,2,36,100,,25-Feb-20,11.6,4.4,3.3,135,100,,20-May-20,13.8,5.5,3.9,239,100,,7-Oct-20,9.4,8.5,7.9,496,60,
Depth gradient 2019 - 2020,Pilli Pipa,7,3,Acropora formosa,30-Oct-19,5.5,2.9,1.4,20,100,,25-Feb-20,7.6,3.8,3.3,75,100,,20-May-20,8.4,3.9,3.7,95,90,,7-Oct-20,13,9,7.4,687,100,
Depth gradient 2019 - 2020,Pilli Pipa,7,4,Acropora formosa,30-Oct-19,6.1,2.4,1.6,19,100,,25-Feb-20,7.9,4.5,2.1,68,100,,20-May-20,9.8,4.4,2.4,89,100,,7-Oct-20,14.3,6.9,2.8,264,80,
Depth gradient 2019 - 2020,Pilli Pipa,7,5,Acropora formosa,30-Oct-19,6,5.5,2.4,74,100,,25-Feb-20,4.2,4.6,2.1,37,30,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,6,Acropora formosa,30-Oct-19,8.7,3.6,1.9,52,100,,25-Feb-20,,,,,0,Dead,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,7,7,Acropora formosa,30-Oct-19,7.3,1.5,1.3,11,100,,25-Feb-20,7.6,2.2,1.5,20,100,,20-May-20,10.1,3.7,2,64,80,,7-Oct-20,2.3,3.5,3.2,20,20,
Depth gradient 2019 - 2020,Pilli Pipa,7,8,Acropora formosa,30-Oct-19,7,1.6,1.7,15,100,,25-Feb-20,8.1,1.8,1.8,21,100,,20-May-20,8.4,1.7,1.5,17,90,,7-Oct-20,3.6,3.5,3.3,33,20,
Depth gradient 2019 - 2020,Pilli Pipa,8,1,Acropora formosa,30-Oct-19,7.5,3.7,2.8,62,100,,25-Feb-20,10,7.3,4.8,287,90,,20-May-20,10.9,7.9,4.8,345,100,,7-Oct-20,10.5,5.7,5,236,80,
Depth gradient 2019 - 2020,Pilli Pipa,8,2,Acropora formosa,30-Oct-19,5.5,3.1,1.7,25,100,,25-Feb-20,7.7,4.1,2.6,68,100,,20-May-20,7.6,4.6,2.8,82,100,,7-Oct-20,8.8,5.9,3.4,149,100,
Depth gradient 2019 - 2020,Pilli Pipa,8,3,Acropora formosa,30-Oct-19,5,8.1,3.9,141,100,,25-Feb-20,7.6,6.4,5.9,226,80,,20-May-20,9.2,8,5.4,324,90,,7-Oct-20,6.4,8.5,6,264,70,
Depth gradient 2019 - 2020,Pilli Pipa,8,4,Acropora formosa,30-Oct-19,7.4,2.3,1.5,21,100,,25-Feb-20,9,2.9,1.7,37,100,,20-May-20,8.9,3,1.7,39,100,,7-Oct-20,11.5,4.7,4.4,187,100,
Depth gradient 2019 - 2020,Pilli Pipa,8,5,Acropora formosa,30-Oct-19,6.5,4.2,1.9,47,100,,25-Feb-20,8.1,5.3,3.6,126,100,,20-May-20,11.1,7.4,4.3,298,100,,7-Oct-20,11.6,7.5,5,356,40,
Depth gradient 2019 - 2020,Pilli Pipa,8,6,Acropora formosa,30-Oct-19,7.2,2,2,23,100,,25-Feb-20,10.3,3.4,3.3,91,100,,20-May-20,11.2,3.8,3.9,130,100,,7-Oct-20,8.1,5.3,3.3,118,70,
Depth gradient 2019 - 2020,Pilli Pipa,8,7,Acropora formosa,30-Oct-19,6.6,3.8,1.3,34,100,,25-Feb-20,8.6,4.8,3.3,111,100,,20-May-20,9.1,6.4,3.3,168,100,,7-Oct-20,10.5,5.5,3.6,171,85,
Depth gradient 2019 - 2020,Pilli Pipa,8,8,Acropora formosa,30-Oct-19,6.5,1.2,1.3,8,100,,25-Feb-20,8.9,2.3,1.6,27,100,,20-May-20,9.4,3.2,2.3,56,100,,7-Oct-20,3,2.9,2.1,15,10,
Depth gradient 2019 - 2020,Pilli Pipa,9,1,Acropora formosa,30-Oct-19,7.9,1.7,1.5,16,100,,25-Feb-20,11.6,2.4,1.6,36,100,,20-May-20,7.9,3.3,1.5,36,100,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,2,Acropora formosa,30-Oct-19,6.8,2.2,1.5,18,100,,25-Feb-20,2.6,1.8,1.3,5,30,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,3,Acropora formosa,30-Oct-19,7.5,2,2.3,27,100,,25-Feb-20,9.3,5.6,1.9,103,90,,20-May-20,3.6,1.6,1.3,6,40,,7-Oct-20,2.7,2.7,2.6,15,15,
Depth gradient 2019 - 2020,Pilli Pipa,9,4,Acropora formosa,30-Oct-19,5.2,1.5,1.4,9,100,,25-Feb-20,6.1,1.2,1.5,9,100,,20-May-20,5.9,2.1,1.6,16,60,,7-Oct-20,0.5,1,0.5,0,5,
Depth gradient 2019 - 2020,Pilli Pipa,9,5,Acropora formosa,30-Oct-19,7.1,4.4,2.6,68,100,,25-Feb-20,8.2,3.8,1.6,47,100,,20-May-20,3.8,2.7,1.7,14,15,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,9,6,Acropora formosa,30-Oct-19,7.9,1.8,1.5,17,100,,25-Feb-20,10.5,2.4,2.1,42,100,,20-May-20,12.4,2.9,2.8,79,100,,7-Oct-20,14.1,5.5,3.8,239,50,
Depth gradient 2019 - 2020,Pilli Pipa,9,7,Acropora formosa,30-Oct-19,5.6,2.9,3.2,41,100,,25-Feb-20,5.1,3.5,2.4,35,100,,20-May-20,5.8,3.5,2.5,41,100,,7-Oct-20,9.1,4.8,4.8,165,100,
Depth gradient 2019 - 2020,Pilli Pipa,9,8,Acropora formosa,30-Oct-19,7.6,1.6,1.2,12,100,,25-Feb-20,9.6,2.6,1.9,38,100,,20-May-20,10.4,2.5,1.5,33,70,,7-Oct-20,4.4,3,2.9,30,30,
Depth gradient 2019 - 2020,Pilli Pipa,10,1,Acropora formosa,30-Oct-19,6.2,4.5,1.6,45,100,,25-Feb-20,7.4,4.9,2.5,80,95,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,2,Acropora formosa,30-Oct-19,5.6,1.2,1.4,7,100,,25-Feb-20,5.5,1.4,1.2,7,90,,20-May-20,,,,,0,Dead,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,3,Acropora formosa,30-Oct-19,9.3,2.5,2.3,42,100,,25-Feb-20,9.2,4,1.6,57,100,,20-May-20,7.5,4.6,2.1,66,90,,7-Oct-20,,,,,0,Dead
Depth gradient 2019 - 2020,Pilli Pipa,10,4,Acropora formosa,30-Oct-19,7.1,1.5,1.5,13,100,,25-Feb-20,8.5,1.6,1.5,16,100,,20-May-20,8.7,1.9,2.2,29,100,,7-Oct-20,2.9,5.3,3.8,47,20,
Depth gradient 2019 - 2020,Pilli Pipa,10,5,Acropora formosa,30-Oct-19,9.5,1.8,1.5,20,100,,25-Feb-20,7.6,1.6,1.8,17,100,,20-May-20,5,2,1.9,15,70,,7-Oct-20,4.4,3.5,3.8,46,50,
