"","Depth","Fragment","Species","2019-10-30","2020-02-25","2020-03-18","2020-03-25","2020-04-01","2020-04-08","2020-04-15","2020-04-22","2020-04-29","2020-05-06","2020-05-13","2020-05-20","2020-06-03","2020-06-17","2020-07-15","2020-10-07"
"125","6","3","Acropora verweyi",100,95,90,90,90,90,90,90,90,80,80,85,80,70,70,30
"126","6","3","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0
"127","6","3","Porites cylindrica",100,90,90,70,70,60,60,60,60,60,60,50,60,50,50,10
"128","6","4","Acropora verweyi",100,90,60,50,70,60,60,70,70,60,60,80,50,30,40,10
"129","6","4","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,80,60,0,0
"130","6","4","Porites cylindrica",100,100,100,100,90,90,80,80,80,80,50,80,50,0,0,20
"131","6","5","Acropora verweyi",100,95,90,70,80,80,70,70,80,70,70,85,70,70,40,15
"132","6","5","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,90,80,0,0
"133","6","5","Porites cylindrica",100,100,90,90,90,80,80,80,80,70,60,20,10,0,0,0
"134","6","6","Acropora verweyi",100,90,90,80,90,80,80,80,80,80,80,85,80,70,60,40
"135","6","6","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,90,80,80,0,0,0,0
"136","6","6","Porites cylindrica",100,80,90,90,90,80,70,70,70,50,50,30,30,0,0,0
"137","6","7","Acropora verweyi",100,100,100,100,80,80,80,80,80,80,80,85,80,70,50,20
"138","6","7","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,80,50,0,0,0
"139","6","7","Porites cylindrica",100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","6","8","Acropora verweyi",100,100,100,100,90,90,90,90,90,90,90,90,80,80,80,80
"141","6","8","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,90,10,10,0,0,0,0
"142","6","8","Porites cylindrica",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","7","1","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"144","7","1","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,95,80,60,0,0
"145","7","1","Porites cylindrica",100,100,90,90,90,90,90,80,80,80,80,70,30,30,30,40
"146","7","2","Acropora verweyi",100,95,100,100,100,100,80,80,70,60,0,10,0,0,0,0
"147","7","2","Pocillopora verrucosa",100,100,100,100,100,100,90,90,90,90,90,90,90,90,60,NA
"148","7","2","Porites cylindrica",100,90,100,90,90,90,80,80,70,40,0,0,0,0,0,0
"149","7","3","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"150","7","3","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,100
"151","7","3","Porites cylindrica",100,100,100,90,90,90,90,90,90,80,80,80,50,40,30,30
"152","7","4","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,NA
"153","7","4","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,90,90,100
"154","7","4","Porites cylindrica",100,100,100,100,100,100,100,100,100,100,100,95,90,70,50,70
"155","7","5","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"156","7","5","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,95,100,90,80,95
"157","7","5","Porites cylindrica",100,60,60,60,60,50,50,50,20,20,0,0,0,0,0,0
"158","7","6","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"159","7","6","Pocillopora verrucosa",100,100,100,100,100,100,90,90,90,90,90,95,90,70,0,0
"160","7","6","Porites cylindrica",100,75,100,100,90,90,90,70,70,70,70,60,50,50,30,30
"161","7","7","Acropora verweyi",100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"162","7","7","Pocillopora verrucosa",100,90,100,100,100,100,90,90,90,90,90,90,90,80,0,0
"163","7","7","Porites cylindrica",100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,80
"164","7","8","Acropora verweyi",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","7","8","Pocillopora verrucosa",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","7","8","Porites cylindrica",100,90,90,90,90,90,90,90,90,90,90,80,90,90,80,60
"167","8","1","Acropora verweyi",100,95,90,90,90,90,90,90,90,90,90,90,90,90,90,100
"168","8","1","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100
"169","8","1","Porites cylindrica",100,95,20,10,0,0,0,0,0,0,0,0,0,0,0,0
"170","8","2","Acropora verweyi",100,90,80,80,80,80,80,80,80,80,80,90,80,80,80,100
"171","8","2","Pocillopora verrucosa",100,100,100,100,80,70,70,70,70,30,10,0,0,0,0,0
"172","8","2","Porites cylindrica",100,95,70,70,70,70,70,70,60,60,50,0,0,0,0,0
"173","8","3","Acropora verweyi",100,95,80,80,80,80,80,70,70,70,70,70,70,70,70,90
"174","8","3","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"175","8","3","Porites cylindrica",100,95,90,90,80,50,20,20,20,20,20,10,0,0,0,0
"176","8","4","Acropora verweyi",100,90,90,90,90,90,90,90,90,90,90,90,90,90,90,60
"177","8","4","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,90,90,80,90,100
"178","8","4","Porites cylindrica",100,100,100,100,100,90,90,90,90,90,90,80,60,50,20,0
"179","8","5","Acropora verweyi",100,100,40,30,30,30,0,0,0,0,0,0,0,0,0,0
"180","8","5","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"181","8","5","Porites cylindrica",100,80,80,80,80,80,60,60,60,60,60,10,0,0,0,0
"182","8","6","Acropora verweyi",100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,90
"183","8","6","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,90,90,90,90,90,90,100
"184","8","6","Porites cylindrica",100,95,90,90,70,70,70,60,50,50,50,50,50,40,20,60
"185","8","7","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
"186","8","7","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"187","8","7","Porites cylindrica",100,80,90,90,90,90,90,70,30,30,30,10,10,0,0,0
"188","8","8","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,90
"189","8","8","Pocillopora verrucosa",100,100,100,100,90,90,90,90,90,90,90,95,90,90,90,100
"190","8","8","Porites cylindrica",100,85,90,80,80,80,80,70,70,70,60,20,40,40,0,0
"191","9","1","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95
"192","9","1","Pocillopora verrucosa",100,80,70,60,60,60,60,60,60,40,30,0,0,0,0,0
"193","9","1","Porites cylindrica",100,75,80,70,70,80,70,70,70,70,70,70,0,0,0,0
"194","9","2","Acropora verweyi",100,95,100,100,100,100,100,100,100,100,100,95,100,100,100,90
"195","9","2","Pocillopora verrucosa",100,100,100,100,100,90,90,90,90,90,90,95,90,90,90,100
"196","9","2","Porites cylindrica",100,85,90,90,90,90,50,40,40,40,40,20,0,0,0,0
"197","9","3","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100
"198","9","3","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"199","9","3","Porites cylindrica",100,90,80,80,80,70,70,30,30,30,0,0,0,0,0,0
"200","9","4","Acropora verweyi",100,70,70,70,70,70,70,60,50,NA,NA,NA,NA,NA,NA,NA
"201","9","4","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"202","9","4","Porites cylindrica",100,40,60,60,60,50,20,20,0,0,0,0,0,0,0,0
"203","9","5","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,95
"204","9","5","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"205","9","5","Porites cylindrica",100,100,100,100,100,100,100,90,60,60,40,0,0,0,0,0
"206","9","6","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA
"207","9","6","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"208","9","6","Porites cylindrica",100,90,100,100,100,100,100,100,100,90,90,90,10,0,0,0
"209","9","7","Acropora verweyi",100,100,100,100,100,100,80,60,40,30,0,0,0,0,0,0
"210","9","7","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,90,0,0,0,0
"211","9","7","Porites cylindrica",100,75,100,100,100,100,70,70,60,60,60,50,10,0,0,0
"212","9","8","Acropora verweyi",100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,95
"213","9","8","Pocillopora verrucosa",100,100,100,100,100,100,100,100,90,90,90,95,80,NA,70,60
"214","9","8","Porites cylindrica",100,70,90,80,80,80,80,70,70,70,40,10,0,0,0,0
"215","10","1","Acropora verweyi",100,95,100,100,100,100,80,80,80,70,60,70,30,20,0,10
"216","10","1","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,70
"217","10","1","Porites cylindrica",100,90,80,80,80,80,70,60,60,40,20,20,10,0,0,0
"218","10","2","Acropora verweyi",100,90,100,100,80,80,80,70,60,20,10,10,10,0,0,0
"219","10","2","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"220","10","2","Porites cylindrica",100,95,100,100,100,100,90,90,90,90,40,60,0,0,0,0
"221","10","3","Acropora verweyi",100,95,90,80,80,80,80,70,60,0,10,10,0,0,0,0
"222","10","3","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,90,90,90,100
"223","10","3","Porites cylindrica",100,100,100,100,100,100,100,90,90,80,20,40,0,0,0,0
"224","10","4","Acropora verweyi",100,100,100,100,100,100,100,90,70,70,70,70,30,30,0,0
"225","10","4","Pocillopora verrucosa",100,90,90,80,80,80,70,70,70,0,0,0,0,0,0,0
"226","10","4","Porites cylindrica",80,90,10,10,10,10,10,0,0,0,0,0,0,0,0,0
"227","10","5","Acropora verweyi",100,90,70,70,70,70,70,50,0,0,0,0,0,0,0,0
"228","10","5","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"229","10","5","Porites cylindrica",100,95,80,60,50,50,50,50,30,50,30,20,0,0,0,0
"230","10","6","Acropora verweyi",100,90,90,70,70,60,60,50,30,20,20,30,0,0,0,0
"231","10","6","Pocillopora verrucosa",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"232","10","6","Porites cylindrica",100,90,90,90,90,90,90,90,80,80,70,50,10,0,0,0
"233","10","7","Acropora verweyi",100,95,80,90,90,90,90,90,90,90,80,80,60,30,20,0
"234","10","7","Pocillopora verrucosa",100,100,100,100,100,100,100,100,90,90,90,90,80,80,60,70
"235","10","7","Porites cylindrica",100,80,80,60,60,60,60,60,50,0,0,10,0,0,0,0
"236","10","8","Acropora verweyi",100,95,90,80,80,70,60,50,20,0,0,30,0,0,0,0
"237","10","8","Pocillopora verrucosa",100,100,100,100,100,100,100,90,80,70,60,40,0,0,0,0
"238","10","8","Porites cylindrica",100,90,80,70,70,70,70,60,0,0,0,0,0,0,0,0
